Suburb,State,Latitude,Longitude
BAYVIEW HEIGHTS,QLD,-16.9636905,145.7247558
BEACHLANDS,WA,-28.7823508,114.6034249
BEACHMERE,QLD,-27.1303586,153.0520041
BEACHPORT,SA,-37.4818511,140.0106789
BEACON HILL,NSW,-33.751787,151.2600828
BEACONSFIELD,NSW,-33.9114691,151.200315
BEACONSFIELD,QLD,-21.0897256,149.1675925
BEACONSFIELD,TAS,-41.1981078,146.8145469
BEACONSFIELD,VIC,-38.0510344,145.3663421
BEACONSFIELD,WA,-32.0693877,115.768587
BEACONSFIELD UPPER,VIC,-37.998526,145.4247844
BEAUDESERT,QLD,-27.9885617,152.9961186
BEAUDESERT TOWN,QLD,-27.9885617,152.9961186
BEAUFORT,VIC,-37.4292674,143.3832189
BEAUMARIS,VIC,-37.9822122,145.0389098
BEAUMARIS EAST,VIC,-37.9861184,145.0347536
BEAUMONT HILLS,NSW,-33.6997222,150.9405556
BEAUTY POINT,NSW,-36.3801934,150.0708149
BECKENHAM,WA,-32.0215834,115.9648379
BEDFORD,WA,-31.9101207,115.8915315
BEDFORD PARK,SA,-35.0233978,138.5698409
BEDFORDALE,WA,-32.179239,116.0652304
BEEAC,VIC,-38.1945621,143.6396332
BEECHBORO,WA,-31.8695832,115.9374824
BEECHMONT,QLD,-28.126238,153.1951742
BEECHWOOD,NSW,-31.4364269,152.6664903
BEECHWORTH,VIC,-36.3594929,146.687012
BEECROFT,NSW,-33.7497631,151.0657475
BEELIAR,WA,-32.141207,115.821758
BEENLEIGH,QLD,-27.7174025,153.2044387
BEERBURRUM,QLD,-26.9522294,152.971605
BEERWAH,QLD,-26.8573095,152.9604137
BEES CREEK,NT,-12.555285,131.059105
BEGA,NSW,-36.6780983,149.8408283
BELAIR,SA,-34.9993826,138.625499
BELCONNEN,ACT,-35.2274338,149.0431454
BELDON,WA,-31.77378,115.7682
BELFIELD,NSW,-33.9045165,151.0860013
BELGIAN GARDENS,QLD,-19.2477265,146.7925139
BELGRAVE,VIC,-37.9090141,145.3552538
BELGRAVE HEIGHTS,VIC,-37.9258631,145.352827
BELGRAVE SOUTH,VIC,-37.9424023,145.3573383
BELL PARK,VIC,-38.1077279,144.338362
BELL POST HILL,VIC,-38.097295,144.3235644
BELLA VISTA,NSW,-33.7416936,150.9547183
BELLAMBI,NSW,-34.362853,150.9100489
BELLBIRD,NSW,-32.8549975,151.3183296
BELLBIRD PARK,QLD,-27.6367635,152.8886859
BELLBOWRIE,QLD,-27.55812,152.8862651
BELLBRAE,VIC,-38.3308213,144.2620821
BELLBRIDGE,VIC,-36.0991935,147.0600707
BELLERIVE,TAS,-42.8755999,147.3686126
BELLEVUE HEIGHTS,SA,-35.0301985,138.5831094
BELLEVUE HILL,NSW,-33.8797123,151.2561988
BELLFIELD,VIC,-37.7531065,145.0384784
BELLINGEN,NSW,-30.3739914,152.71921
BELLMERE,QLD,-27.0890907,152.9221627
BELMONT,NSW,-33.0331697,151.6585586
BELMONT,QLD,-27.5147784,153.1268563
BELMONT,VIC,-38.1785947,144.3421337
BELMONT,WA,-31.9462298,115.9336781
BELMONT NORTH,NSW,-33.0154318,151.6740434
BELMORE,NSW,-33.9171961,151.0887104
BELROSE,NSW,-33.730009,151.2191438
BENALLA,VIC,-36.5517611,145.9833562
BENDEMEER,NSW,-30.8825826,151.1557903
BENDIGO,VIC,-36.7590183,144.2826718
BENDIGO SOUTH,VIC,-36.7771068,144.2972658
BENNETT SPRINGS,WA,-31.8580515,115.9422606
BENNETTSWOOD,VIC,-37.8491836,145.1099433
BENOWA,QLD,-28.010591,153.3878869
BENSVILLE,NSW,-33.4983333,151.3844444
BENTLEIGH,VIC,-37.9175354,145.0369346
BENTLEIGH EAST,VIC,-37.9220201,145.0665529
BENTLEY,NSW,-28.7777078,153.1124992
BENTLEY,WA,-32.0084461,115.9065455
BENTLEY PARK,QLD,-17.007272,145.7249915
BERALA,NSW,-33.8753943,151.0343253
BERESFIELD,NSW,-32.7989679,151.6579012
BERESFORD,WA,-28.75306,114.6194
BERKELEY,NSW,-34.4774294,150.8448548
BERKELEY VALE,NSW,-33.34,151.4344444
BERKSHIRE PARK,NSW,-33.6816667,150.7844444
BERMAGUI,NSW,-36.4278621,150.0773955
BEROWRA,NSW,-33.6237183,151.1515392
BEROWRA HEIGHTS,NSW,-33.6134319,151.1395327
BERRI,SA,-34.2854741,140.6017385
BERRIDALE,NSW,-36.3652063,148.8266015
BERRIEDALE,TAS,-42.8037592,147.2523618
BERRIGAN,NSW,-35.7514817,145.6601213
BERRIMAH,NT,-12.433883,130.9229031
BERRINBA,QLD,-27.652767,153.0826433
BERRY,NSW,-34.7802973,150.6966853
BERRY SPRINGS,NT,-12.7220385,131.0048008
BERSERKER,QLD,-23.364875,150.5279477
BERTRAM,WA,-32.2452415,115.844506
BERWICK,VIC,-38.0398297,145.3451089
BESWICK,NT,-14.5544974,133.1139933
BETHANIA,QLD,-27.6918376,153.1561448
BEULAH,VIC,-35.9377317,142.4194615
BEULAH PARK,SA,-34.9176726,138.6452299
BEVERIDGE,VIC,-37.4712651,144.9745663
BEVERLEY,SA,-34.8952647,138.5463394
BEVERLEY,WA,-32.1076853,116.9256264
BEVERLEY PARK,NSW,-33.9787995,151.1316285
BEVERLY HILLS,NSW,-33.9497444,151.0817342
BEXHILL,NSW,-28.7631637,153.3480115
BEXLEY,NSW,-33.9523543,151.1181427
BEXLEY NORTH,NSW,-33.9375479,151.1134896
BIBRA LAKE,WA,-32.0992868,115.8185072
BICHENO,TAS,-41.8748974,148.3038105
BICTON,WA,-32.0265247,115.785885
BIDWILL,NSW,-33.7319476,150.823408
BIG HILL,VIC,-36.84437,144.21305
BIGGENDEN,QLD,-25.5105,152.0458009
BIGGERA WATERS,QLD,-27.9303205,153.3920281
BILAMBIL,NSW,-28.2245935,153.4659475
BILAMBIL HEIGHTS,NSW,-28.2103755,153.4866586
BILGOLA,NSW,-33.6443165,151.324484
BILGOLA PLATEAU,NSW,-33.6438092,151.315858
BILINGA,QLD,-28.1606569,153.5045192
BILLINUDGEL,NSW,-28.5037568,153.5281538
BILOELA,QLD,-24.3997711,150.5141867
BINGARA,NSW,-29.8674757,150.5723009
BINNAWAY,NSW,-31.5514474,149.3798683
BINNINGUP,WA,-33.1491325,115.6972499
BIRCHGROVE,NSW,-33.8507685,151.1830352
BIRCHIP,VIC,-35.9827621,142.9159408
BIRDWOOD,SA,-34.8187997,138.9638545
BIRKDALE,QLD,-27.4943324,153.2151619
BIRKENHEAD,SA,-34.836756,138.5002312
BIRREGURRA,VIC,-38.3287226,143.7833283
BIRRONG,NSW,-33.8933152,151.0240303
BIRTINYA,QLD,-26.7452315,153.1143477
BIRUBI POINT,NSW,-32.7865966,152.0812101
BITTERN,VIC,-38.3375798,145.1773289
BLACK FOREST,SA,-34.9602768,138.576661
BLACK HILL,VIC,-37.5497395,143.8732633
BLACK ROCK,VIC,-37.9706564,145.0212822
BLACKALL,QLD,-24.4231685,145.4648487
BLACKALLS PARK,NSW,-33.0011111,151.5872222
BLACKBURN,VIC,-37.8201373,145.1500496
BLACKBURN NORTH,VIC,-37.8053801,145.154324
BLACKBURN SOUTH,VIC,-37.8388322,145.1487848
BLACKBUTT,NSW,-34.5707,150.8429
BLACKBUTT,QLD,-26.8830175,152.1011195
BLACKETT,NSW,-33.7372232,150.815
BLACKHEATH,NSW,-33.6338889,150.2847222
BLACKMANS BAY,TAS,-43.004684,147.3179857
BLACKS BEACH,QLD,-21.064109,149.1861338
BLACKSMITHS,NSW,-33.0733333,151.6566667
BLACKSOIL,QLD,-27.5772225,152.7064789
BLACKSTONE,QLD,-27.631085,152.801788
BLACKTOWN,NSW,-33.7401885,150.8648355
BLACKTOWN SOUTH,NSW,-33.7799786,150.904777
BLACKWATER,QLD,-23.473772,148.7852681
BLACKWOOD,SA,-35.0223835,138.6128068
BLAIR ATHOL,NSW,-34.0627778,150.7997222
BLAIR ATHOL,SA,-34.8592373,138.5965433
BLAIRMOUNT,NSW,-34.0483333,150.7927778
BLAKEBROOK,NSW,-28.765,153.2511111
BLAKEHURST,NSW,-33.9898519,151.1085596
BLAKEVIEW,SA,-34.6756176,138.710052
BLAXLAND,NSW,-33.7460755,150.6092697
BLAXLAND EAST,NSW,-33.7455739,150.6221769
BLAYNEY,NSW,-33.6166368,149.1640565
BLI BLI,QLD,-26.610295,153.02183
BLIGH PARK,NSW,-33.6383333,150.7980556
BLOWHARD,VIC,-37.4290385,143.7866058
BLUE HAVEN,NSW,-33.2108061,151.5041066
BLUEWATER,QLD,-19.168362,146.5459699
BLUFF POINT,WA,-28.7354933,114.6230666
BLYTH,SA,-33.8450989,138.4894622
BOAMBEE,NSW,-30.3316667,153.0844444
BOAMBEE EAST,NSW,-30.3471115,153.0714612
BOAT HARBOUR,TAS,-40.94623,145.63837
BODDINGTON,WA,-32.792141,116.4210582
BOGANGAR,NSW,-28.3363746,153.5700922
BOGGABILLA,NSW,-28.6046049,150.3595723
BOGGABRI,NSW,-30.704536,150.0443533
BOHLE,QLD,-19.2469575,146.7239225
BOHLE PLAINS,QLD,-19.288899,146.6739271
BOIGU ISLAND,QLD,-9.2600009,142.2141677
BOISDALE,VIC,-37.856388,146.9654433
BOKARINA,QLD,-26.7388465,153.1296378
BOLLON,QLD,-28.295356,147.3059333
BOLTON POINT,NSW,-33.0025,151.615
BOLWARRA,NSW,-32.7113693,151.5706875
BOLWARRA,VIC,-38.280427,141.6037139
BOMADERRY,NSW,-34.8538588,150.6098027
BOMBALA,NSW,-36.9113175,149.2389375
BONA VISTA,VIC,-38.2104353,145.9626786
BONBEACH,VIC,-38.065449,145.120108
BONDI,NSW,-33.8930556,151.2633333
BONDI BEACH,NSW,-33.8923133,151.2753137
BONDI JUNCTION,NSW,-33.8930034,151.2501228
BONEO,VIC,-38.4062537,144.9005697
BONGAREE,QLD,-27.0839863,153.1594566
BONNELLS BAY,NSW,-33.1078506,151.5291695
BONNER,ACT,-35.1559621,149.1429557
BONNET BAY,NSW,-34.0101087,151.053572
BONNYRIGG,NSW,-33.8936698,150.888281
BONNYRIGG HEIGHTS,NSW,-33.8912101,150.8695795
BONOGIN,QLD,-28.1447985,153.3554383
BONSHAW,VIC,-37.602671,143.8136781
BONYTHON,ACT,-35.4333083,149.078276
BOOKER BAY,NSW,-33.5138889,151.3475
BOOLAROO,NSW,-32.9466667,151.6277778
BOOLARRA,VIC,-38.3813131,146.2721984
BOOLEROO CENTRE,SA,-32.879367,138.3510455
BOOMERANG BEACH,NSW,-32.3399563,152.5433024
BOONAH,QLD,-27.991084,152.6962154
BOONDALL,QLD,-27.3501466,153.065654
BOORAGOON,WA,-32.0395384,115.8336757
BOORAGUL,NSW,-32.9747222,151.6105556
BOOROOMA,NSW,-35.0694062,147.3617654
BOOROWA,NSW,-34.4385643,148.7188286
BOORT,VIC,-36.1177895,143.7222634
BOOVAL,QLD,-27.613976,152.7923336
BORDERTOWN,SA,-36.3108349,140.7731808
BORONIA,VIC,-37.860645,145.2848446
BORONIA HEIGHTS,QLD,-27.6879723,153.0216096
BORONIA WEST,VIC,-37.8613343,145.2526596
BORROLOOLA,NT,-16.0594471,136.3054069
BOSSLEY PARK,NSW,-33.8622222,150.8844444
BOTANIC RIDGE,VIC,-38.1413786,145.2566183
BOTANY,NSW,-33.947829,151.1990644
BOULDER,WA,-30.774675,121.4883268
BOURKE,NSW,-30.0914494,145.9429902
BOURKELANDS,NSW,-35.1561111,147.3477778
BOW BOWING,NSW,-34.0161463,150.8405606
BOWDEN,SA,-34.9028963,138.5799792
BOWEN,QLD,-20.012125,148.2462901
BOWEN HILLS,QLD,-27.4434045,153.0373122
BOWRAL,NSW,-34.4816626,150.4177868
BOWRAVILLE,NSW,-30.6464838,152.8528424
BOX HILL,NSW,-33.6425,150.8988889
BOX HILL,VIC,-37.8215116,145.1261267
BOX HILL NORTH,VIC,-37.8056831,145.1295748
BOX HILL SOUTH,VIC,-37.8366236,145.1233644
BOYNE ISLAND,QLD,-23.924915,151.3246901
BOYUP BROOK,WA,-33.884175,116.5197515
BRABHAM,WA,-31.8283583,115.9764153
BRACKEN RIDGE,QLD,-27.317662,153.0339358
BRADBURY,NSW,-34.0816667,150.8177778
BRADDON,ACT,-35.2708149,149.135735
BRAHMA LODGE,SA,-34.775875,138.6530791
BRAIDWOOD,NSW,-35.4388907,149.7955552
BRAITLING,NT,-23.6743,133.8643
BRANXHOLME,VIC,-37.847078,141.809552
BRANXTON,NSW,-32.6622131,151.3456985
BRANYAN,QLD,-24.9145404,152.2653562
BRASSALL,QLD,-27.5917295,152.7365879
BRAY PARK,QLD,-27.2925612,152.9620596
BRAYBROOK,VIC,-37.7867076,144.8548451
BREAKFAST POINT,NSW,-33.8422769,151.1111054
BREAKWATER,VIC,-38.1823897,144.3735473
BREDBO,NSW,-35.9551981,149.1453324
BREMER BAY,WA,-34.3933927,119.3766032
BRENTWOOD,WA,-32.0435208,115.8524477
BREWARRINA,NSW,-29.9479708,146.9764199
BRIAGOLONG,VIC,-37.809138,147.0851711
BRIAR HILL,VIC,-37.7063703,145.1216479
BRIBBAREE,NSW,-34.1187833,147.8796921
BRIBIE ISLAND,QLD,-26.9644799,153.120238
BRIDGEMAN DOWNS,QLD,-27.351757,152.9936316
BRIDGETOWN,WA,-33.9580685,116.137245
BRIDGEWATER,SA,-35.0093879,138.7623775
BRIDGEWATER,TAS,-42.7347704,147.2362804
BRIDPORT,TAS,-41.0022767,147.3925192
BRIGHT,VIC,-36.7285335,146.9607724
BRIGHTON,QLD,-27.296277,153.0579926
BRIGHTON,SA,-35.0184242,138.5223596
BRIGHTON,TAS,-42.726717,147.2857368
BRIGHTON,VIC,-37.9081962,144.9957991
BRIGHTON EAST,VIC,-37.9171728,145.0163663
BRIGHTON LE SANDS,NSW,-33.9580947,151.1526052
BRIGHTON-LE-SANDS,NSW,-33.9580947,151.1526052
BRINGELLY,NSW,-33.9393505,150.7309705
BRINKIN,NT,-12.3685399,130.8674776
BRINKWORTH,SA,-33.6936868,138.4043979
BRINSMEAD,QLD,-16.8998615,145.7142103
BRISBANE,QLD,-27.4689682,153.0234991
BRISBANE AIRPORT,QLD,-27.3876213,153.121582
BRISBANE CITY,QLD,-27.470301,153.0258187
BROADBEACH,QLD,-28.0281465,153.4312769
BROADBEACH WATERS,QLD,-28.027218,153.4168032
BROADFORD,VIC,-37.2155475,145.0534276
BROADMEADOW,NSW,-32.9231318,151.7344455
BROADMEADOWS,VIC,-37.6830527,144.9194859
BROADVIEW,SA,-34.8759436,138.6150008
BROADWAY,NSW,-34.7063889,149.0805556
BROKEN HILL,NSW,-31.965,141.4511111
BROMPTON,SA,-34.8983219,138.5756758
BRONTE,NSW,-33.9042128,151.2637774
BROOKDALE,WA,-32.1660529,116.0023809
BROOKFIELD,QLD,-27.488929,152.907882
BROOKFIELD,VIC,-37.6993389,144.5405513
BROOKLYN,NSW,-33.5470764,151.2263057
BROOKLYN,VIC,-37.8160898,144.8414748
BROOKLYN PARK,SA,-34.9301049,138.5447587
