Suburb,State,AvgRating,ServiceCount,AboveAverage
ALICE RIVER,QLD,4.0,1,True
ALICE SPRINGS,NT,3.611111111111111,18,False
ALKIMOS,WA,4.0,11,True
ALLAMBIE HEIGHTS,NSW,4.333333333333333,3,True
ALLANSFORD,VIC,5.0,2,True
ALLAWAH,NSW,4.0,1,True
ALLENBY GARDENS,SA,4.0,3,True
ALLENDALE EAST,SA,4.0,2,True
ALLENSTOWN,QLD,4.0,2,True
ALLIGATOR CREEK,QLD,4.0,1,True
ALLORA,QLD,4.5,2,True
ALPHINGTON,VIC,4.375,8,True
ALPURRURULAM,NT,3.0,1,False
ALSTONVILLE,NSW,4.25,4,True
ALTONA,VIC,4.5,10,True
ALTONA MEADOWS,VIC,4.25,12,True
ALTONA NORTH,VIC,4.25,9,True
ALYANGULA,NT,3.3333333333333335,3,False
AMAROO,ACT,4.0,4,True
AMATA,SA,5.0,1,True
AMBARVALE,NSW,4.25,5,True
AMBROSE,QLD,,1,False
AMPILATWATJA,NT,,1,False
ANAKIE,QLD,,1,False
ANAKIE,VIC,3.0,1,False
ANDERGROVE,QLD,4.0,7,True
ANDERGROVE LAKES,QLD,4.0,1,True
ANDREWS FARM,SA,4.0,1,True
ANGASTON,SA,4.5,2,True
ANGLE PARK,SA,4.5,2,True
ANGLE VALE,SA,3.7777777777777777,11,False
ANGLESEA,VIC,4.0,2,True
ANGUS,NSW,4.0,1,True
ANNA BAY,NSW,4.0,2,True
ANNANDALE,NSW,4.375,8,True
ANNANDALE,QLD,3.875,8,False
ANNANGROVE,NSW,4.0,3,True
ANNERLEY,QLD,4.333333333333333,3,True
ANSTEAD,QLD,4.0,1,True
ANULA,NT,4.5,2,True
APOLLO BAY,VIC,4.0,2,True
APPIN,NSW,4.5,4,True
APPLECROSS,WA,3.3333333333333335,6,False
ARALUEN,NT,,1,False
ARANA HILLS,QLD,3.6666666666666665,3,False
ARANDA,ACT,5.0,4,True
ARARAT,VIC,3.875,8,False
ARCADIA,NSW,4.0,2,True
ARCADIA VALE,NSW,4.0,2,True
ARCHERFIELD,QLD,4.0,1,True
ARDEER,VIC,4.333333333333333,4,True
ARDLETHAN,NSW,4.0,1,True
ARDMONA,VIC,,1,False
ARDROSS,WA,3.75,5,False
ARDROSSAN,SA,4.0,1,True
ARGENTON,NSW,5.0,1,True
ARIAH PARK,NSW,4.0,1,True
ARMADALE,VIC,4.5,11,True
ARMADALE,WA,3.7,10,False
ARMIDALE,NSW,3.95,22,False
ARMSTRONG CREEK,VIC,3.857142857142857,9,False
ARNCLIFFE,NSW,4.142857142857143,8,True
ARNOLDS CREEK,VIC,4.0,1,True
AROONA,QLD,4.5,2,True
ARTARMON,NSW,3.9166666666666665,13,False
ARUNDEL,QLD,4.0,7,True
ASCOT,QLD,4.4,5,True
ASCOT,WA,4.0,1,True
ASCOT VALE,VIC,4.333333333333333,10,True
ASCOT VALE WEST,VIC,5.0,1,True
ASHBURTON,VIC,4.181818181818182,11,True
ASHBURY,NSW,4.0,4,True
ASHBY,WA,4.0,2,True
ASHCROFT,NSW,4.0,2,True
ASHFIELD,NSW,4.266666666666667,16,True
ASHFIELD,WA,4.5,2,True
ASHFORD,NSW,4.0,1,True
ASHGROVE,QLD,4.1,11,True
ASHMONT,NSW,4.0,2,True
ASHMORE,QLD,4.0,12,True
ASHTONFIELD,NSW,4.4,5,True
ASHWOOD,VIC,4.4,5,True
ASPENDALE,VIC,4.5,7,True
ASPENDALE GARDENS,VIC,4.4,5,True
ASPLEY,QLD,4.333333333333333,9,True
ASQUITH,NSW,4.0,6,True
ATHELSTONE,SA,3.6666666666666665,4,False
ATHERTON,QLD,4.0,5,True
ATTADALE,WA,4.0,3,True
ATTWOOD,VIC,5.0,1,True
ATWELL,WA,4.0,6,True
AUBIN GROVE,WA,4.5,3,True
AUBURN,NSW,4.083333333333333,25,True
AUBURN,SA,3.0,1,False
AUCHENFLOWER,QLD,4.25,4,True
AUGATHELLA,QLD,4.0,1,True
AUGUSTA,WA,4.0,1,True
AUGUSTINE HEIGHTS,QLD,4.0,6,True
AURUKUN,QLD,,1,False
AUSTINMER,NSW,4.0,1,True
AUSTRAL,NSW,3.9,12,False
AUSTRALIND,WA,3.8,10,False
AVALON,NSW,3.5,2,False
AVALON BEACH,NSW,4.0,4,True
AVELEY,WA,3.5,4,False
AVENEL,VIC,4.0,2,True
AVOCA,NSW,4.0,1,True
AVOCA,QLD,4.0,2,True
AVOCA,VIC,4.0,1,True
AVOCA BEACH,NSW,4.0,1,True
AVONDALE HEIGHTS,VIC,4.333333333333333,7,True
AVONSLEIGH,VIC,4.0,1,True
AXE CREEK,VIC,4.0,1,True
AXEDALE,VIC,5.0,2,True
AYR,QLD,4.0,6,True
Angurugu Community,NT,,1,False
BABINDA,QLD,4.0,2,True
BACCHUS MARSH,VIC,4.111111111111111,11,True
BADGER CREEK,VIC,,1,False
BADU ISLAND,QLD,3.0,1,False
BAFFLE CREEK,QLD,,1,False
BAGDAD,TAS,5.0,2,True
BAHRS SCRUB,QLD,3.5,2,False
BAIRNSDALE,VIC,4.090909090909091,12,True
BAKERS HILL,WA,4.0,1,True
BAKEWELL,NT,4.0,4,True
BALACLAVA,VIC,4.666666666666667,3,True
BALAKLAVA,SA,3.0,2,False
BALCATTA,WA,3.5714285714285716,7,False
BALD HILLS,QLD,4.428571428571429,7,True
BALDIVIS,WA,4.04,28,True
BALGA,WA,3.8333333333333335,8,False
BALGOWLAH,NSW,4.0,9,True
BALGOWLAH HEIGHTS,NSW,4.5,2,True
BALGOWNIE,NSW,4.333333333333333,6,True
BALLAJURA,WA,4.0,8,True
BALLAN,VIC,3.75,6,False
BALLARAT,VIC,4.333333333333333,12,True
BALLARAT CENTRAL,VIC,4.0,6,True
BALLARAT EAST,VIC,4.0,2,True
BALLARAT NORTH,VIC,4.0,2,True
BALLINA,NSW,4.777777777777778,9,True
BALMAIN,NSW,4.1,10,True
BALMAIN EAST,NSW,4.0,1,True
BALMORAL,QLD,4.0,2,True
BALMORAL,VIC,5.0,1,True
BALNARRING,VIC,4.666666666666667,3,True
BALRANALD,NSW,3.0,1,False
BALWYN,VIC,4.222222222222222,10,True
BALWYN NORTH,VIC,4.25,12,True
BAMAGA,QLD,3.0,1,False
BANDIANA,VIC,4.0,1,True
BANGALOW,NSW,4.5,4,True
BANGHOLME,VIC,5.0,2,True
BANGOR,NSW,3.8333333333333335,6,False
BANKSIA,NSW,4.0,1,True
BANKSIA BEACH,QLD,4.5,2,True
BANKSIA GROVE,WA,4.1,10,True
BANKSIA PARK,SA,4.5,3,True
BANKSTOWN,NSW,3.814814814814815,31,False
BANKSTOWN AIRPORT,NSW,4.0,1,True
BANNOCKBURN,VIC,4.0,6,True
BANORA POINT,NSW,4.0,8,True
BANYO,QLD,4.0,7,True
BARADINE,NSW,4.0,2,True
BARALABA,QLD,,1,False
BARANDUDA,VIC,4.0,4,True
BARANGAROO,NSW,4.0,1,True
BARCALDINE,QLD,4.0,2,True
BARDEN RIDGE,NSW,4.0,4,True
BARDIA,NSW,4.0,4,True
BARDON,QLD,4.285714285714286,7,True
BARDWELL PARK,NSW,,1,False
BARDWELL VALLEY,NSW,4.0,1,True
BARGARA,QLD,3.5,2,False
BARGO,NSW,4.0,5,True
BARHAM,NSW,4.0,1,True
BARMAH TOWN,VIC,4.0,1,True
BARMERA,SA,3.5,2,False
BARNAWARTHA,VIC,4.0,1,True
BARNSLEY,NSW,4.0,4,True
BAROOGA,NSW,4.0,2,True
BARRABA,NSW,4.0,1,True
BARRACK HEIGHTS,NSW,4.333333333333333,3,True
BARTON,ACT,4.166666666666667,6,True
BARWON HEADS,VIC,4.0,1,True
BASIN VIEW,NSW,4.0,2,True
BASS HILL,NSW,4.0,11,True
BASSENDEAN,WA,4.285714285714286,7,True
BATCHELOR,NT,4.0,1,True
BATEAU BAY,NSW,4.2,5,True
BATEHAVEN,NSW,3.6666666666666665,3,False
BATEMAN,WA,4.0,2,True
BATEMANS BAY,NSW,5.0,1,True
BATHURST,NSW,4.125,16,True
BATLOW,NSW,4.0,1,True
BATTERY HILL,QLD,5.0,1,True
BATTERY POINT,TAS,4.0,2,True
BAUHINIA,QLD,,1,False
BAULKHAM HILLS,NSW,4.125,33,True
BAXTER,VIC,4.333333333333333,3,True
BAYLES,VIC,4.0,2,True
BAYNTON,WA,4.0,2,True
BAYSWATER,VIC,4.285714285714286,10,True
BAYSWATER,WA,3.6666666666666665,7,False
BAYSWATER NORTH,VIC,4.5,6,True
BAYVIEW,NSW,4.0,1,True
BAYVIEW HEIGHTS,QLD,5.0,1,True
BEACHLANDS,WA,,1,False
BEACHMERE,QLD,4.333333333333333,3,True
BEACHPORT,SA,4.0,1,True
BEACON HILL,NSW,4.0,3,True
BEACONSFIELD,NSW,4.0,1,True
BEACONSFIELD,QLD,4.0,6,True
BEACONSFIELD,TAS,3.0,1,False
BEACONSFIELD,VIC,4.285714285714286,8,True
BEACONSFIELD,WA,3.8,5,False
BEACONSFIELD UPPER,VIC,4.4,5,True
BEAUDESERT,QLD,4.0,9,True
BEAUDESERT TOWN,QLD,4.0,1,True
BEAUFORT,VIC,4.0,1,True
BEAUMARIS,VIC,4.875,9,True
BEAUMARIS EAST,VIC,3.0,1,False
BEAUMONT HILLS,NSW,4.333333333333333,4,True
BEAUTY POINT,NSW,4.0,1,True
BECKENHAM,WA,3.8,6,False
BEDFORD,WA,4.0,2,True
BEDFORD PARK,SA,5.0,3,True
BEDFORDALE,WA,3.6666666666666665,3,False
BEEAC,VIC,,1,False
BEECHBORO,WA,4.166666666666667,7,True
BEECHMONT,QLD,3.0,1,False
BEECHWOOD,NSW,3.0,1,False
BEECHWORTH,VIC,4.0,4,True
BEECROFT,NSW,3.857142857142857,7,False
BEELIAR,WA,4.25,4,True
BEENLEIGH,QLD,3.75,10,False
BEERBURRUM,QLD,5.0,2,True
BEERWAH,QLD,4.6,6,True
BEES CREEK,NT,4.0,3,True
BEGA,NSW,4.2,5,True
BELAIR,SA,4.166666666666667,6,True
BELCONNEN,ACT,4.090909090909091,12,True
BELDON,WA,4.0,3,True
BELFIELD,NSW,3.7142857142857144,7,False
BELGIAN GARDENS,QLD,4.0,4,True
BELGRAVE,VIC,4.0,2,True
BELGRAVE HEIGHTS,VIC,4.333333333333333,3,True
BELGRAVE SOUTH,VIC,4.5,2,True
BELL PARK,VIC,5.0,5,True
BELL POST HILL,VIC,4.285714285714286,7,True
BELLA VISTA,NSW,4.2,6,True
BELLAMBI,NSW,4.0,2,True
BELLBIRD,NSW,4.333333333333333,3,True
BELLBIRD PARK,QLD,4.0,5,True
BELLBOWRIE,QLD,4.666666666666667,4,True
BELLBRAE,VIC,4.0,1,True
BELLBRIDGE,VIC,4.0,1,True
BELLERIVE,TAS,3.6,5,False
BELLEVUE HEIGHTS,SA,4.5,2,True
BELLEVUE HILL,NSW,4.0,2,True
BELLFIELD,VIC,4.5,3,True
BELLINGEN,NSW,4.25,4,True
BELLMERE,QLD,3.6666666666666665,3,False
BELMONT,NSW,4.166666666666667,7,True
BELMONT,QLD,4.0,1,True
BELMONT,VIC,4.230769230769231,15,True
BELMONT,WA,3.5,4,False
BELMONT NORTH,NSW,4.0,3,True
BELMORE,NSW,3.9285714285714284,15,False
BELROSE,NSW,4.454545454545454,11,True
BENALLA,VIC,4.2,10,True
BENDEMEER,NSW,4.0,1,True
BENDIGO,VIC,4.352941176470588,17,True
BENDIGO SOUTH,VIC,5.0,1,True
BENNETT SPRINGS,WA,4.0,4,True
BENNETTSWOOD,VIC,4.0,1,True
BENOWA,QLD,4.0,9,True
BENSVILLE,NSW,,1,False
BENTLEIGH,VIC,4.454545454545454,12,True
BENTLEIGH EAST,VIC,4.3,20,True
BENTLEY,NSW,4.0,1,True
BENTLEY,WA,4.25,4,True
BENTLEY PARK,QLD,3.8181818181818183,12,False
BERALA,NSW,4.0,2,True
BERESFIELD,NSW,4.0,4,True
BERESFORD,WA,4.0,1,True
BERKELEY,NSW,4.0,3,True
BERKELEY VALE,NSW,4.0,5,True
BERKSHIRE PARK,NSW,5.0,1,True
BERMAGUI,NSW,6.0,1,True
BEROWRA,NSW,4.125,8,True
BEROWRA HEIGHTS,NSW,4.25,4,True
BERRI,SA,3.75,4,False
BERRIDALE,NSW,4.0,2,True
BERRIEDALE,TAS,5.0,1,True
BERRIGAN,NSW,4.0,1,True
BERRIMAH,NT,4.2,6,True
BERRINBA,QLD,4.0,2,True
BERRY,NSW,4.333333333333333,4,True
BERRY SPRINGS,NT,3.5,2,False
BERSERKER,QLD,4.333333333333333,4,True
BERTRAM,WA,4.0,3,True
BERWICK,VIC,4.333333333333333,34,True
BESWICK,NT,4.0,1,True
BETHANIA,QLD,4.333333333333333,3,True
BEULAH,VIC,4.0,1,True
BEULAH PARK,SA,4.0,1,True
BEVERIDGE,VIC,4.25,5,True
BEVERLEY,SA,3.0,1,False
BEVERLEY,WA,4.0,1,True
BEVERLEY PARK,NSW,5.0,1,True
BEVERLY HILLS,NSW,4.125,8,True
BEXHILL,NSW,4.0,1,True
BEXLEY,NSW,4.2105263157894735,19,True
BEXLEY NORTH,NSW,4.0,3,True
BIBRA LAKE,WA,3.75,5,False
BICHENO,TAS,4.0,1,True
BICTON,WA,4.0,2,True
BIDWILL,NSW,4.5,2,True
BIG HILL,VIC,4.0,1,True
BIGGENDEN,QLD,4.0,1,True
BIGGERA WATERS,QLD,4.0,3,True
BILAMBIL,NSW,4.0,1,True
BILAMBIL HEIGHTS,NSW,4.0,1,True
BILGOLA,NSW,5.0,1,True
BILGOLA PLATEAU,NSW,4.0,1,True
BILINGA,QLD,4.0,1,True
BILLINUDGEL,NSW,4.0,1,True
BILOELA,QLD,4.6,6,True
BINGARA,NSW,4.0,1,True
BINNAWAY,NSW,4.0,2,True
BINNINGUP,WA,4.0,1,True
BIRCHGROVE,NSW,4.0,1,True
BIRCHIP,VIC,4.0,1,True
BIRDWOOD,SA,3.5,2,False
BIRKDALE,QLD,3.888888888888889,9,False
BIRKENHEAD,SA,4.0,2,True
BIRREGURRA,VIC,5.0,2,True
BIRRONG,NSW,4.0,2,True
BIRTINYA,QLD,4.333333333333333,3,True
BIRUBI POINT,NSW,4.0,1,True
BITTERN,VIC,4.5,2,True
BLACK FOREST,SA,4.5,2,True
BLACK HILL,VIC,4.0,1,True
BLACK ROCK,VIC,4.333333333333333,4,True
BLACKALL,QLD,4.0,2,True
BLACKALLS PARK,NSW,4.0,2,True
BLACKBURN,VIC,4.3125,18,True
BLACKBURN NORTH,VIC,4.166666666666667,6,True
BLACKBURN SOUTH,VIC,4.142857142857143,7,True
BLACKBUTT,NSW,4.333333333333333,6,True
BLACKBUTT,QLD,3.5,2,False
BLACKETT,NSW,4.0,2,True
BLACKHEATH,NSW,4.333333333333333,3,True
BLACKMANS BAY,TAS,3.8,5,False
BLACKS BEACH,QLD,3.0,1,False
BLACKSMITHS,NSW,4.0,1,True
BLACKSOIL,QLD,3.0,1,False
BLACKSTONE,QLD,5.0,1,True
BLACKTOWN,NSW,3.823529411764706,34,False
BLACKTOWN SOUTH,NSW,5.0,2,True
BLACKWATER,QLD,4.0,3,True
BLACKWOOD,SA,4.0,6,True
BLAIR ATHOL,NSW,4.333333333333333,3,True
BLAIR ATHOL,SA,3.4,5,False
BLAIRMOUNT,NSW,4.0,1,True
BLAKEBROOK,NSW,,1,False
BLAKEHURST,NSW,5.0,2,True
BLAKEVIEW,SA,4.25,8,True
BLAXLAND,NSW,4.4,5,True
BLAXLAND EAST,NSW,4.0,1,True
BLAYNEY,NSW,4.0,4,True
BLI BLI,QLD,4.0,6,True
BLIGH PARK,NSW,4.0,4,True
BLOWHARD,VIC,,1,False
BLUE HAVEN,NSW,4.333333333333333,3,True
BLUEWATER,QLD,4.0,2,True
BLUFF POINT,WA,4.0,2,True
BLYTH,SA,4.0,1,True
BOAMBEE,NSW,3.6666666666666665,3,False
BOAMBEE EAST,NSW,4.0,1,True
BOAT HARBOUR,TAS,4.0,1,True
BODDINGTON,WA,3.0,1,False
BOGANGAR,NSW,4.0,3,True
BOGGABILLA,NSW,5.0,1,True
BOGGABRI,NSW,4.0,2,True
BOHLE,QLD,3.5,2,False
BOHLE PLAINS,QLD,4.0,1,True
BOIGU ISLAND,QLD,4.0,1,True
BOISDALE,VIC,4.0,1,True
BOKARINA,QLD,5.0,3,True
BOLLON,QLD,,1,False
BOLTON POINT,NSW,4.0,1,True
BOLWARRA,NSW,4.0,3,True
BOLWARRA,VIC,,1,False
BOMADERRY,NSW,3.875,9,False
BOMBALA,NSW,4.0,3,True
BONA VISTA,VIC,,1,False
BONBEACH,VIC,4.75,4,True
BONDI,NSW,3.923076923076923,13,False
BONDI BEACH,NSW,4.333333333333333,3,True
BONDI JUNCTION,NSW,4.266666666666667,15,True
BONEO,VIC,4.0,1,True
BONGAREE,QLD,3.0,1,False
BONNELLS BAY,NSW,4.0,2,True
BONNER,ACT,4.5,2,True
BONNET BAY,NSW,4.5,2,True
BONNYRIGG,NSW,4.285714285714286,8,True
BONNYRIGG HEIGHTS,NSW,4.25,4,True
BONOGIN,QLD,4.0,1,True
BONSHAW,VIC,4.0,1,True
BONYTHON,ACT,4.0,3,True
BOOKER BAY,NSW,5.0,2,True
BOOLAROO,NSW,4.5,2,True
BOOLARRA,VIC,4.0,1,True
BOOLEROO CENTRE,SA,4.0,1,True
BOOMERANG BEACH,NSW,4.0,1,True
BOONAH,QLD,4.0,3,True
BOONDALL,QLD,4.0,6,True
BOORAGOON,WA,4.333333333333333,3,True
BOORAGUL,NSW,4.0,1,True
BOOROOMA,NSW,4.0,2,True
BOOROWA,NSW,4.0,1,True
BOORT,VIC,4.0,1,True
BOOVAL,QLD,4.0,4,True
BORDERTOWN,SA,5.0,2,True
BORONIA,VIC,4.25,15,True
BORONIA HEIGHTS,QLD,3.6666666666666665,6,False
BORONIA WEST,VIC,4.0,1,True
BORROLOOLA,NT,4.0,1,True
BOSSLEY PARK,NSW,4.285714285714286,8,True
BOTANIC RIDGE,VIC,4.333333333333333,4,True
BOTANY,NSW,4.333333333333333,10,True
BOULDER,WA,4.0,1,True
BOURKE,NSW,4.0,2,True
BOURKELANDS,NSW,4.0,2,True
BOW BOWING,NSW,4.0,1,True
BOWDEN,SA,4.0,1,True
BOWEN,QLD,4.142857142857143,8,True
BOWEN HILLS,QLD,4.75,4,True
BOWRAL,NSW,4.111111111111111,10,True
BOWRAVILLE,NSW,5.0,1,True
BOX HILL,NSW,3.6666666666666665,9,False
BOX HILL,VIC,4.428571428571429,8,True
BOX HILL NORTH,VIC,4.1,11,True
BOX HILL SOUTH,VIC,4.0,2,True
BOYNE ISLAND,QLD,4.0,3,True
BOYUP BROOK,WA,4.0,1,True
BRABHAM,WA,4.0,5,True
BRACKEN RIDGE,QLD,4.125,8,True
BRADBURY,NSW,4.333333333333333,4,True
BRADDON,ACT,4.333333333333333,3,True
BRAHMA LODGE,SA,4.0,1,True
BRAIDWOOD,NSW,4.0,2,True
BRAITLING,NT,,1,False
BRANXHOLME,VIC,4.0,1,True
BRANXTON,NSW,4.0,6,True
BRANYAN,QLD,4.0,1,True
BRASSALL,QLD,3.8333333333333335,6,False
BRAY PARK,QLD,3.875,8,False
BRAYBROOK,VIC,4.2,10,True
BREAKFAST POINT,NSW,5.0,1,True
BREAKWATER,VIC,4.0,1,True
BREDBO,NSW,4.0,1,True
BREMER BAY,WA,4.0,1,True
BRENTWOOD,WA,4.0,2,True
BREWARRINA,NSW,3.5,2,False
BRIAGOLONG,VIC,,1,False
BRIAR HILL,VIC,4.0,4,True
BRIBBAREE,NSW,,1,False
BRIBIE ISLAND,QLD,4.5,4,True
BRIDGEMAN DOWNS,QLD,4.333333333333333,3,True
BRIDGETOWN,WA,3.0,2,False
BRIDGEWATER,SA,4.5,2,True
BRIDGEWATER,TAS,4.666666666666667,3,True
BRIDPORT,TAS,5.0,1,True
BRIGHT,VIC,4.0,2,True
BRIGHTON,QLD,4.0,7,True
BRIGHTON,SA,3.6666666666666665,3,False
BRIGHTON,TAS,4.0,2,True
BRIGHTON,VIC,4.421052631578948,19,True
BRIGHTON EAST,VIC,4.461538461538462,13,True
BRIGHTON LE SANDS,NSW,4.5,2,True
BRIGHTON-LE-SANDS,NSW,4.142857142857143,7,True
BRINGELLY,NSW,4.0,1,True
BRINKIN,NT,4.5,2,True
BRINKWORTH,SA,5.0,1,True
BRINSMEAD,QLD,4.0,4,True
BRISBANE,QLD,4.8,5,True
BRISBANE AIRPORT,QLD,4.5,2,True
BRISBANE CITY,QLD,4.0,5,True
BROADBEACH,QLD,4.333333333333333,4,True
BROADBEACH WATERS,QLD,4.0,3,True
BROADFORD,VIC,4.5,3,True
BROADMEADOW,NSW,4.333333333333333,6,True
BROADMEADOWS,VIC,4.25,9,True
BROADVIEW,SA,5.0,2,True
BROADWAY,NSW,4.0,1,True
BROKEN HILL,NSW,3.6666666666666665,9,False
BROMPTON,SA,4.333333333333333,3,True
BRONTE,NSW,4.0,4,True
BROOKDALE,WA,4.0,1,True
BROOKFIELD,QLD,4.5,2,True
BROOKFIELD,VIC,4.166666666666667,10,True
BROOKLYN,NSW,4.0,1,True
BROOKLYN,VIC,4.0,2,True
BROOKLYN PARK,SA,3.8,5,False
BROOKTON,WA,3.0,1,False
BROOKVALE,NSW,4.428571428571429,14,True
BROOKWATER,QLD,4.333333333333333,3,True
BROOME,WA,3.8,5,False
BROULEE,NSW,3.6666666666666665,3,False
BROWN HILL,VIC,4.0,4,True
BROWNS PLAINS,QLD,4.125,8,True
BRUCE,ACT,4.125,8,True
BRUCE ROCK,WA,4.0,1,True
BRUNSWICK,VIC,4.461538461538462,13,True
BRUNSWICK EAST,VIC,4.25,6,True
BRUNSWICK HEADS,NSW,4.5,2,True
BRUNSWICK NORTH,VIC,5.0,1,True
BRUNSWICK WEST,VIC,4.363636363636363,11,True
BRUTHEN,VIC,4.0,1,True
BUANGOR,VIC,,1,False
BUCASIA,QLD,3.5,2,False
BUCCA,NSW,4.0,1,True
BUDDINA,QLD,4.0,2,True
BUDERIM,QLD,4.5,14,True
BUDGEWOI,NSW,4.333333333333333,3,True
BUFF POINT,NSW,4.0,1,True
BULAHDELAH,NSW,4.0,1,True
BULGARRA,WA,3.3333333333333335,3,False
BULIMBA,QLD,4.75,5,True
BULL CREEK,WA,3.75,5,False
BULLEEN,VIC,4.5,12,True
BULLI,NSW,4.571428571428571,7,True
BULLSBROOK,WA,4.0,4,True
BULN BULN,VIC,3.0,1,False
BUNBURY,WA,4.0,7,True
BUNDABERG,QLD,4.2,25,True
BUNDABERG CENTRAL,QLD,4.0,1,True
BUNDABERG EAST,QLD,4.0,2,True
BUNDABERG NORTH,QLD,4.0,3,True
BUNDABERG SOUTH,QLD,5.0,1,True
BUNDABERG WEST,QLD,4.0,3,True
BUNDALL,QLD,4.333333333333333,3,True
BUNDAMBA,QLD,3.75,4,False
BUNDANOON,NSW,4.5,2,True
BUNDARRA,NSW,4.0,1,True
BUNDEENA,NSW,4.0,3,True
BUNDOORA,VIC,4.0625,17,True
BUNGALOW,QLD,4.0,1,True
BUNGAREE,VIC,,1,False
BUNGENDORE,NSW,4.0,4,True
BUNINYONG,VIC,4.0,3,True
BUNYIP,VIC,4.0,4,True
BURANDA,QLD,4.0,1,True
BURBANK,QLD,4.0,1,True
BURDELL,QLD,4.0,7,True
BURKETOWN,QLD,3.0,1,False
BURLEIGH HEADS,QLD,3.8333333333333335,7,False
BURLEIGH WATERS,QLD,4.2,5,True
BURLEIGH WEST,QLD,4.0,1,True
BURNETT HEADS,QLD,5.0,1,True
BURNIE,TAS,4.4,5,True
BURNS BEACH,WA,4.0,1,True
BURNSIDE,QLD,4.0,1,True
BURNSIDE,SA,5.0,1,True
BURNSIDE,VIC,4.0,3,True
BURNSIDE HEIGHTS,VIC,4.666666666666667,4,True
BURONGA,NSW,3.5,2,False
BURPENGARY,QLD,4.230769230769231,13,True
BURPENGARY EAST,QLD,4.0,1,True
BURRA,SA,4.0,2,True
BURRADOO,NSW,,1,False
BURRANEER,NSW,4.0,1,True
BURRAWANG,NSW,4.0,1,True
BURREN JUNCTION,NSW,4.0,1,True
BURRINGBAR,NSW,4.0,1,True
BURRUMBUTTOCK,NSW,4.0,2,True
BURSWOOD,WA,4.0,1,True
BURTON,SA,4.0,3,True
BURWOOD,NSW,4.142857142857143,15,True
BURWOOD,VIC,4.375,8,True
BURWOOD EAST,VIC,4.25,8,True
BURWOOD HEIGHTS,NSW,4.5,2,True
BUSBY,NSW,4.0,3,True
BUSHLAND BEACH,QLD,4.0,2,True
BUSSELTON,WA,3.6666666666666665,10,False
BUTE,SA,5.0,1,True
BUTLER,WA,3.875,9,False
BUXTON,NSW,4.0,2,True
BUXTON,VIC,,1,False
BYFORD,WA,4.066666666666666,16,True
BYRON BAY,NSW,4.571428571428571,8,True
Ballarat East,VIC,,1,False
Barunga,NT,,1,False
Bathurst,NSW,,1,False
Beverly Hills,NSW,,1,False
Burnie,TAS,,1,False
CABARITA,VIC,4.0,1,True
CABLE BEACH,WA,3.6666666666666665,3,False
CABOOLTURE,QLD,4.185185185185185,28,True
CABOOLTURE SOUTH,QLD,3.5,2,False
CABRAMATTA,NSW,3.857142857142857,14,False
CABRAMATTA WEST,NSW,4.0,2,True
CADDENS,NSW,5.0,1,True
CAIRNLEA,VIC,4.166666666666667,6,True
CAIRNS,QLD,4.25,8,True
CAIRNS CITY,QLD,3.0,1,False
CALALA,NSW,,1,False
CALAMVALE,QLD,4.0,12,True
CALDERWOOD,NSW,4.0,1,True
